source_id,local_path,sha256,source_version,original_url,frozen_url,license
PET5_GPKG,data_raw/PET5/PET5_GPKG.zip,45e66eeb95ea7f3e47aa0840a8a263c1cc2862ccf0b33fd5e007e353ca48174d,Collected 2026-06-25,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Placettes_temporaires_5e/02-Donnees/PROV/PET5_GPKG.zip,https://github.com/AurelienNicosiaULaval/arbres_quebec/releases/download/v1.0.0/PET5_GPKG.zip,CC-BY-4.0
PET5_DICTIONARY,data_raw/PET5/DICTIONNAIRE_PLACETTE.xlsx,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3,Collected 2026-06-25,https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/DONNEES_FOR_ECO_SUD/Placettes_temporaires_5e/01-Documentation/DICTIONNAIRE_PLACETTE.xlsx,https://github.com/AurelienNicosiaULaval/arbres_quebec/releases/download/v1.0.0/DICTIONNAIRE_PLACETTE.xlsx,CC-BY-4.0
VASCAN_DWCA,data_raw/VASCAN/vascan_dwca_v37.16.zip,35478029c1f0f78c7cdd8020b755f47dd2a380f336370ba595463a6b88828a4b,VASCAN 37.16,https://data.canadensys.net/ipt/archive.do?r=vascan&v=37.16,https://github.com/AurelienNicosiaULaval/arbres_quebec/releases/download/v1.0.0/vascan_dwca_v37.16.zip,CC0-1.0
